Camera Start Date,Camera End Date,CameraName,Location Code,Image#,Image Quality,Species,SpeciesCode,# of Individuals,Date,Time,Notes
"Folder Start Date (Date on folder, format YYYY-MM-DD)","Folder End Date (Date of last image in folder, can fill out at end (YYYY-MM-DD)","Can fill this out exactly how it looks on the folder, no spaces then drag down the column at end","3 Letter code for locations-DO NOT ENTER, THIS WILL FILL AUTOMATICALLY",Please start with IMG in the image name,"1 High, 2 Okay, 3 Bad/can barely see animal","coyote, human, raccoon, skunk, opossum, woodrat, bobcat, bird (note species if possible), squirrel, ground squirrel, vehicle, or unknown","Four letter code for species-DO NOT ENTER, THIS WILL FILL AUTOMATICALLY",number of animals seen in image,Date of image (YYYYMMDD),"24 hours, convert if needed, so 1PM would be 13 etc.    Military Hours-->hh:mm:ss","Please record anything noteworthy-prey, young ones, weather problems, if it's a cool picture for outreach or instagram please put ""COOL"" in the notes column"
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0001,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0002,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0003,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0004,1,human,HOSA,2,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0005,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0006,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0007,1,human,HOSA,2,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0008,1,human,HOSA,2,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0009,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0010,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0011,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0012,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0013,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0014,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0015,1,human,HOSA,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0016,2,squirrel,SCIU,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0017,2,squirrel,SCIU,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0018,2,squirrel,SCIU,1,20241018,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0019,2,bird,BIRD,1,20241019,,
2024-10-18,2024-11-26,Bonitacanyon1,BC1,IMG_0022,2,coyote,CAFA,1,20241020,,
