filename,label
data_import/2022_11_09_BonitaCanyon1/IMG_0001,0
data_import/2022_11_09_BonitaCanyon1/IMG_0002,0
data_import/2022_11_09_BonitaCanyon1/IMG_0003,0
data_import/2022_11_09_BonitaCanyon1/IMG_0004,0
data_import/2022_11_09_BonitaCanyon1/IMG_0005,0
data_import/2022_11_09_BonitaCanyon1/IMG_0006,0
data_import/2022_11_09_BonitaCanyon1/IMG_0007,0
data_import/2022_11_09_BonitaCanyon1/IMG_0008,0
data_import/2022_11_09_BonitaCanyon1/IMG_0009,0
data_import/2022_11_09_BonitaCanyon1/IMG_0010,1
data_import/2022_11_09_BonitaCanyon1/IMG_0011,0
data_import/2022_11_09_BonitaCanyon1/IMG_0012,0
data_import/2022_11_09_BonitaCanyon1/IMG_0013,1
data_import/2022_11_09_BonitaCanyon1/IMG_0014,1
data_import/2022_11_09_BonitaCanyon1/IMG_0015,1
data_import/2022_11_09_BonitaCanyon1/IMG_0016,1
data_import/2022_11_09_BonitaCanyon1/IMG_0017,1
data_import/2022_11_09_BonitaCanyon1/IMG_0018,1
data_import/2022_11_09_BonitaCanyon1/IMG_0019,1
data_import/2022_11_09_BonitaCanyon1/IMG_0020,1
data_import/2022_11_09_BonitaCanyon1/IMG_0021,1
data_import/2022_11_09_BonitaCanyon1/IMG_0022,1
data_import/2022_11_09_BonitaCanyon1/IMG_0023,1
data_import/2022_11_09_BonitaCanyon1/IMG_0024,1
data_import/2022_11_09_BonitaCanyon1/IMG_0025,1
data_import/2022_11_09_BonitaCanyon1/IMG_0026,0
data_import/2022_11_09_BonitaCanyon1/IMG_0027,0
data_import/2022_11_09_BonitaCanyon1/IMG_0028,2
data_import/2022_11_09_BonitaCanyon1/IMG_0029,2
data_import/2022_11_09_BonitaCanyon1/IMG_0030,2
data_import/2022_11_09_BonitaCanyon1/IMG_0031,1
data_import/2022_11_09_BonitaCanyon1/IMG_0032,1
data_import/2022_11_09_BonitaCanyon1/IMG_0033,0
data_import/2022_11_09_BonitaCanyon1/IMG_0034,0
data_import/2022_11_09_BonitaCanyon1/IMG_0035,0
data_import/2022_11_09_BonitaCanyon1/IMG_0036,0
data_import/2022_11_09_BonitaCanyon1/IMG_0037,0
data_import/2022_11_09_BonitaCanyon1/IMG_0038,0
data_import/2022_11_09_BonitaCanyon1/IMG_0039,0
data_import/2022_11_09_BonitaCanyon1/IMG_0040,1
data_import/2022_11_09_BonitaCanyon1/IMG_0041,0
data_import/2022_11_09_BonitaCanyon1/IMG_0042,0
data_import/2022_11_09_BonitaCanyon1/IMG_0043,1
data_import/2022_11_09_BonitaCanyon1/IMG_0044,1
data_import/2022_11_09_BonitaCanyon1/IMG_0045,0
data_import/2022_11_09_BonitaCanyon1/IMG_0046,1
data_import/2022_11_09_BonitaCanyon1/IMG_0047,1
data_import/2022_11_09_BonitaCanyon1/IMG_0048,1
data_import/2022_11_09_BonitaCanyon1/IMG_0049,1
data_import/2022_11_09_BonitaCanyon1/IMG_0050,1
data_import/2022_11_09_BonitaCanyon1/IMG_0051,1
data_import/2022_11_09_BonitaCanyon1/IMG_0053,0
data_import/2022_11_09_BonitaCanyon1/IMG_0054,0
data_import/2022_11_09_BonitaCanyon1/IMG_0055,1
