Camera Start Date,Camera End Date,CameraName,Location Code,Image#,Image Quality,Species,SpeciesCode,# of Individuals,Date,Time,Notes
"Folder Start Date (Date on folder, format YYYY-MM-DD)","Folder End Date (Date of last image in folder, can fill out at end (YYYY-MM-DD)","Can fill this out exactly how it looks on the folder, no spaces then drag down the column at end","3 Letter code for locations-DO NOT ENTER, THIS WILL FILL AUTOMATICALLY",Please start with IMG in the image name,"1 High, 2 Okay, 3 Bad/can barely see animal","coyote, human, raccoon, skunk, opossum, woodrat, bobcat, bird (note species if possible), squirrel, ground squirrel, vehicle, or unknown","Four letter code for species-DO NOT ENTER, THIS WILL FILL AUTOMATICALLY",number of animals seen in image,Date of image (YYYYMMDD),"24 hours, convert if needed, so 1PM would be 13 etc.    Military Hours-->hh:mm:ss","Please record anything noteworthy-prey, young ones, weather problems, if it's a cool picture for outreach or instagram please put ""COOL"" in the notes column"
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0001,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0002,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0003,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0005,3,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0006,3,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0016,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0017,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0018,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0019,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0020,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0021,2,human,HOSA,1,20240202,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0022,1,squirrel,SCIU,1,20240204,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0023,1,squirrel,SCIU,1,20240204,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0024,3,squirrel,SCIU,1,20240204,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0025,3,squirrel,SCIU,1,20240204,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0028,2,squirrel,SCIU,1,20240206,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0031,1,squirrel,SCIU,1,20240206,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0034,1,squirrel,SCIU,1,20240207,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0035,1,squirrel,SCIU,1,20240207,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0037,3,opossum,DIVI,1,20240207,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0038,3,opossum,DIVI,1,20240207,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0039,3,opossum,DIVI,1,20240207,,
2024-02-02,2024-04-11,BonitaCanyon2,BC2,IMG_0040,1,squirrel,SCIU,1,20240208,,
